location,geonameid
virginia,0
"manhattan, new york",5128581
manhattan,5128581
"bronx,ny ",5128581
bronx new york,5128581
bronx ny,5128581
"bronx,new york",5128581
bronx,5128581
new york city,5128581
"brooklyn, ny",5128581
"maine, usa",0
maine,0
pa,0
nova,0
"nj, usa",0
ny ,0
ny,0
