06037	39222	74322008
36 	39046	216223506
17031	23832	49403936
24037	14726	45985
06075	13650	6588648
13121	13421	5194557
11001	12626	8286495
53033	12397	7450300
48167	10879	625588
06073	10273	13741816
48201	9898	17187349
48453	9073	6199018
25025	8930	6049890
04013	8439	15089985
48113	8352	9916179
39081	7384	56730
32003	7104	5009520
36071	6856	197011
41051	6405	2943035
42101	6226	7587750
27053	5722	3817320
39035	5706	3588708
47037	5302	2142417
12086	5287	4823458
08031	5067	3882452
06085	4690	6760014
12095	4676	1741425
17011	4634	14136
38063	4425	348
06071	4237	3874457
06059	4168	5955317
42003	3898	2448546
48029	3892	8895532
29007	3881	25848
53011	3829	576240
29510	3756	2568059
06029	3563	1328062
39049	3517	5691633
06001	3405	3669019
06067	3311	3981380
24510	3188	3665352
37119	3025	3176468
18097	3024	5508424
39061	2861	1686202
27137	2799	247969
55079	2785	2844019
29095	2758	2304900
26163	2671	5606603
42063	2628	35345
22071	2555	2423370
12057	2554	2382719
37183	2553	1538831
47157	2443	2830254
39095	2400	1343367
25017	2326	2592835
06065	2254	3597891
40109	2233	2617800
48439	2217	3701398
55051	2127	2456
17109	2063	38607
42129	2044	175093
01073	2039	1628334
49035	1817	1825873
51760	1802	572658
04019	1786	2207141
55025	1784	1295926
22019	1700	190292
21111	1687	1097970
12031	1584	4072407
40143	1563	1913078
29163	1562	7786
39097	1542	29529
36055	1524	822494
08013	1390	510180
26081	1372	946245
27123	1294	1965084
17045	1288	10070
47093	1260	691952
15003	1259	1330421
12011	1256	3583662
06019	1244	1863257
31055	1219	1185377
26161	1188	419484
19153	1187	926203
06081	1179	1268364
35001	1154	1972300
36029	1153	960650
08041	1101	1160735
12099	1097	1220208
06013	1068	1646802
45019	1041	586228
23005	991	319546
16001	987	573211
22033	978	729008
53053	977	1082161
21067	977	1226359
06083	970	738938
36119	966	1308449
12073	916	614332
51810	881	2126285
48141	879	2349233
32031	874	810588
06111	869	1669747
26065	850	534381
17099	844	106622
24031	838	1220376
48085	826	1179983
37081	826	911978
36067	822	645987
39113	809	1034078
05119	797	775277
34017	783	1573672
26125	775	1546187
29019	765	189951
45079	764	369667
41039	757	522000
13297	757	36483
24003	744	516311
44007	738	1248586
09009	731	1486223
48121	730	823015
45045	727	226494
09001	723	1440137
12009	705	725638
37135	699	133613
12001	694	407059
56025	688	103426
17043	681	1519956
38041	675	489
06097	672	816379
37021	663	223926
29077	659	331292
